country,price_date,year,month,c_beans_fao,c_maize_fao,inflation_food_price_index
Kenya,7/1/2007,2007,7,34637.19,13753.18,
Kenya,8/1/2007,2007,8,35056.81,13891.68,
Kenya,9/1/2007,2007,9,35128.49,13783.76,
Kenya,10/1/2007,2007,10,34598.4,13589.62,
Kenya,11/1/2007,2007,11,35031.58,13624.73,
Kenya,12/1/2007,2007,12,36183.13,13554.04,
Kenya,1/1/2007,2007,1,37642.86,14943.47,
Kenya,2/1/2007,2007,2,37578.84,14664.8,
Kenya,3/1/2007,2007,3,37680.7,14645.66,
Kenya,4/1/2007,2007,4,37519.67,14471.78,
Kenya,5/1/2007,2007,5,37219.04,14236.81,
Kenya,6/1/2007,2007,6,37413.54,14068.57,
Kenya,7/1/2007,2007,7,37573.17,14008.2,
Kenya,8/1/2007,2007,8,37675.28,14182.04,
Kenya,9/1/2007,2007,9,37664.66,14103.51,
Kenya,10/1/2007,2007,10,37734.34,14067.65,
Kenya,11/1/2007,2007,11,37827.63,14014.87,
Kenya,12/1/2007,2007,12,38631.09,13818.9,
Kenya,1/1/2007,2007,1,40622.11,17289.21,
Kenya,2/1/2007,2007,2,40119.82,16588.97,
Kenya,3/1/2007,2007,3,40021.92,16624.11,
Kenya,4/1/2007,2007,4,40357.8,16490.3,
Kenya,5/1/2007,2007,5,41481.22,16555.53,
Kenya,6/1/2007,2007,6,40639.51,15508.46,
Kenya,7/1/2007,2007,7,42325.94,16803.3,
Kenya,8/1/2007,2007,8,41405.68,16298.31,
Kenya,9/1/2007,2007,9,41242.06,15570.91,
Kenya,10/1/2007,2007,10,41223.29,15777.96,
Kenya,11/1/2007,2007,11,43445.54,17057.09,
Kenya,12/1/2007,2007,12,44300.96,17668.92,
Kenya,1/1/2007,2007,1,37649.29,13649.89,
Kenya,2/1/2007,2007,2,37538.6,13619.16,
Kenya,3/1/2007,2007,3,37556.29,13455.29,
Kenya,4/1/2007,2007,4,37379.46,13345.81,
Kenya,5/1/2007,2007,5,37542.97,13383.07,
Kenya,6/1/2007,2007,6,37729.22,13308.66,
Kenya,7/1/2007,2007,7,37514.9,13280.65,
Kenya,8/1/2007,2007,8,37702.33,13491.32,
Kenya,9/1/2007,2007,9,37543.52,13438.39,
Kenya,10/1/2007,2007,10,37738.01,13238.04,
Kenya,11/1/2007,2007,11,38053.72,12948.19,
Kenya,12/1/2007,2007,12,38354.56,12496.18,
Kenya,1/1/2007,2007,1,39935.82,15271.67,
Kenya,2/1/2007,2007,2,38222.58,14973.19,
Kenya,3/1/2007,2007,3,39659.53,15938.79,
Kenya,4/1/2007,2007,4,39669.48,15956.73,
Kenya,5/1/2007,2007,5,40114.24,15022.52,
Kenya,6/1/2007,2007,6,42398.15,17381.88,
Kenya,7/1/2007,2007,7,42964.86,17720.73,
Kenya,8/1/2007,2007,8,43187.61,17040,
Kenya,9/1/2007,2007,9,42425.41,17119.93,
Kenya,10/1/2007,2007,10,41778.15,16273.03,
Kenya,11/1/2007,2007,11,43437.86,17523.49,
Kenya,12/1/2007,2007,12,45371.71,17533.5,
Kenya,1/1/2007,2007,1,37138.69,14788.77,
Kenya,2/1/2007,2007,2,37024.97,14872.13,
Kenya,3/1/2007,2007,3,36755.03,14692.52,
Kenya,4/1/2007,2007,4,36686.2,14691.39,
Kenya,5/1/2007,2007,5,36597.2,14149.43,
Kenya,6/1/2007,2007,6,36755.77,14195.03,
Kenya,7/1/2007,2007,7,36917.91,14083.32,
Kenya,8/1/2007,2007,8,36752.44,14272.58,
Kenya,9/1/2007,2007,9,37116.38,14172.27,
Kenya,10/1/2007,2007,10,36717.82,14160.43,
Kenya,11/1/2007,2007,11,37586.17,14314.55,
Kenya,12/1/2007,2007,12,37835.88,14197.78,
Kenya,1/1/2007,2007,1,39941.71,13372.44,
Kenya,2/1/2007,2007,2,39424.58,13244.1,
Kenya,3/1/2007,2007,3,39694.21,13247.03,
Kenya,4/1/2007,2007,4,38594.98,13331.15,
Kenya,5/1/2007,2007,5,38860.88,13449.6,
Kenya,6/1/2007,2007,6,40224.13,14467.97,
Kenya,7/1/2007,2007,7,40057.5,13551.07,
Kenya,8/1/2007,2007,8,40043.23,14222.86,
Kenya,9/1/2007,2007,9,39777.6,13524.06,
Kenya,10/1/2007,2007,10,39791.81,13275.97,
Kenya,11/1/2007,2007,11,41132.74,14797.49,
Kenya,12/1/2007,2007,12,43215.29,14272.8,
Kenya,1/1/2007,2007,1,38584.26,13858.72,
Kenya,2/1/2007,2007,2,37985.31,13624.55,
Kenya,3/1/2007,2007,3,38067.55,13704.62,
Kenya,4/1/2007,2007,4,37936.72,13682.1,
Kenya,5/1/2007,2007,5,38002.45,13599.6,
Kenya,6/1/2007,2007,6,39760.79,13943.26,
Kenya,7/1/2007,2007,7,39565.16,13894.19,
Kenya,8/1/2007,2007,8,39761.97,13884.37,
Kenya,9/1/2007,2007,9,40072.92,13759.28,
Kenya,10/1/2007,2007,10,38904.37,13741.39,
Kenya,11/1/2007,2007,11,40939.56,14049.84,
Kenya,12/1/2007,2007,12,42696.41,14139.06,
Kenya,1/1/2007,2007,1,37248.96,14964.05,
Kenya,2/1/2007,2007,2,37188.18,14575.25,
Kenya,3/1/2007,2007,3,36766.08,14351.78,
Kenya,4/1/2007,2007,4,36946.18,14154.38,
Kenya,5/1/2007,2007,5,37472.04,13985.13,
Kenya,6/1/2007,2007,6,37382.46,14188.82,
Kenya,7/1/2007,2007,7,37399.09,13939.37,
Kenya,8/1/2007,2007,8,37495.42,13852.02,
Kenya,9/1/2007,2007,9,37454.8,13943.16,
Kenya,10/1/2007,2007,10,37339.81,13901.88,
Kenya,11/1/2007,2007,11,38283.19,13825.78,
Kenya,12/1/2007,2007,12,38648.05,13716.37,
Kenya,1/1/2007,2007,1,38279.41,15474.32,
Kenya,2/1/2007,2007,2,37651.72,15130.77,
Kenya,3/1/2007,2007,3,37722.53,15255.15,
Kenya,4/1/2007,2007,4,36264.5,14813.41,
Kenya,5/1/2007,2007,5,37355.02,14353.22,
Kenya,6/1/2007,2007,6,38085.22,14792.76,
Kenya,7/1/2007,2007,7,38066.69,14482.08,
Kenya,8/1/2007,2007,8,38047.43,14809.33,
Kenya,9/1/2007,2007,9,37926.86,15006.22,
Kenya,10/1/2007,2007,10,38222.37,14582.59,
Kenya,11/1/2007,2007,11,39877.44,15215.24,
Kenya,12/1/2007,2007,12,40796.56,14860.98,
Kenya,1/1/2007,2007,1,36699.22,15653.88,
Kenya,2/1/2007,2007,2,36426.11,14717.37,
Kenya,3/1/2007,2007,3,36388.35,14699.78,
Kenya,4/1/2007,2007,4,36163.13,14446.23,
Kenya,5/1/2007,2007,5,36840.43,14725.12,
Kenya,6/1/2007,2007,6,37663.03,14882.16,
Kenya,7/1/2007,2007,7,38587.55,15389.89,
Kenya,8/1/2007,2007,8,37626.09,14771.78,
Kenya,9/1/2007,2007,9,38049.91,15041.02,
Kenya,10/1/2007,2007,10,37891.08,14881.62,
Kenya,11/1/2007,2007,11,41110.67,16371.09,
Kenya,12/1/2007,2007,12,44343.52,17271.09,
Kenya,1/1/2007,2007,1,38965.05,14318.9,
Kenya,2/1/2007,2007,2,38724.5,14334.52,
Kenya,3/1/2007,2007,3,38074.44,14170.46,
Kenya,4/1/2007,2007,4,39153.63,14500.2,
Kenya,5/1/2007,2007,5,40133.99,14688.6,
Kenya,6/1/2007,2007,6,40544.36,14699.28,
Kenya,7/1/2007,2007,7,41788.32,15020.5,
Kenya,8/1/2007,2007,8,41459.78,15234.63,
Kenya,9/1/2007,2007,9,41426.13,15243.49,
Kenya,10/1/2007,2007,10,40394.97,14735.77,
Kenya,11/1/2007,2007,11,42715.5,15566.14,
Kenya,12/1/2007,2007,12,43827.43,15190.53,
Kenya,1/1/2007,2007,1,36603.65,14543.32,
Kenya,2/1/2007,2007,2,36470.23,14177.32,
Kenya,3/1/2007,2007,3,36000.8,14292.3,
Kenya,4/1/2007,2007,4,35890.46,14049.72,
Kenya,5/1/2007,2007,5,36140.68,13825.96,
Kenya,6/1/2007,2007,6,36526.29,13688.96,
Kenya,7/1/2007,2007,7,36736.78,13719.21,
Kenya,8/1/2007,2007,8,36386.23,13806.33,
Kenya,9/1/2007,2007,9,36841.28,13754.84,
Kenya,10/1/2007,2007,10,36463.51,13746.06,
Kenya,11/1/2007,2007,11,37809.72,13571.3,
Kenya,12/1/2007,2007,12,39554.12,13486.33,
Kenya,1/1/2007,2007,1,36639.07,14505.64,
Kenya,2/1/2007,2007,2,36473.81,14516.71,
Kenya,3/1/2007,2007,3,36758.05,14633.08,
Kenya,4/1/2007,2007,4,37080.07,14352.64,
Kenya,5/1/2007,2007,5,36476.69,13888.09,
Kenya,6/1/2007,2007,6,35923.99,13672.53,
Kenya,7/1/2007,2007,7,38114.02,14247.09,
Kenya,8/1/2007,2007,8,36868.71,13872.61,
Kenya,9/1/2007,2007,9,36434.38,13826.08,
Kenya,10/1/2007,2007,10,36510.75,13857.46,
Kenya,11/1/2007,2007,11,37866.55,13722.89,
Kenya,12/1/2007,2007,12,39176.86,14555,
Kenya,1/1/2007,2007,1,38638.84,14658.59,
Kenya,2/1/2007,2007,2,38303.5,14536.49,
Kenya,3/1/2007,2007,3,37994.86,14372.3,
Kenya,4/1/2007,2007,4,39677.26,15387.15,
Kenya,5/1/2007,2007,5,39324.12,14186.67,
Kenya,6/1/2007,2007,6,39953.87,14931.69,
Kenya,7/1/2007,2007,7,41180.01,14970.89,
Kenya,8/1/2007,2007,8,41286.1,15011.63,
Kenya,9/1/2007,2007,9,39726.15,14765.98,
Kenya,10/1/2007,2007,10,39588.8,14791.19,
Kenya,11/1/2007,2007,11,41409.67,15152.2,
Kenya,12/1/2007,2007,12,44077.14,16556.76,
Kenya,1/1/2007,2007,1,37454.98,15018.21,
Kenya,2/1/2007,2007,2,37997.46,15210.94,
Kenya,3/1/2007,2007,3,38172.51,15168.69,
Kenya,4/1/2007,2007,4,38481.86,14949.23,
Kenya,5/1/2007,2007,5,37730.76,14670.13,
Kenya,6/1/2007,2007,6,37268.97,14380.92,
Kenya,7/1/2007,2007,7,38248.76,14721.83,
Kenya,8/1/2007,2007,8,39345.39,15078.12,
Kenya,9/1/2007,2007,9,38181.26,14721.58,
Kenya,10/1/2007,2007,10,37889.49,14737.46,
Kenya,11/1/2007,2007,11,39291.8,14668.86,
Kenya,12/1/2007,2007,12,40639.28,14930.85,
Kenya,1/1/2007,2007,1,36677.24,14422.52,
Kenya,2/1/2007,2007,2,36465.91,14407.24,
Kenya,3/1/2007,2007,3,37405.03,14368.4,
Kenya,4/1/2007,2007,4,35693.37,13989.73,
Kenya,5/1/2007,2007,5,35448.38,13580.79,
Kenya,6/1/2007,2007,6,36239.67,13663.13,
Kenya,7/1/2007,2007,7,35382.04,13573.3,
Kenya,8/1/2007,2007,8,38732.85,14350.09,
Kenya,9/1/2007,2007,9,37077.19,13926.85,
Kenya,10/1/2007,2007,10,36717.73,13935.23,
Kenya,11/1/2007,2007,11,37533.01,13605.83,
Kenya,12/1/2007,2007,12,38535.75,13915.03,
Kenya,1/1/2007,2007,1,37565.55,15169.13,
Kenya,2/1/2007,2007,2,37686.76,15043.75,
Kenya,3/1/2007,2007,3,37294.1,14955.52,
Kenya,4/1/2007,2007,4,37215.53,14542.83,
Kenya,5/1/2007,2007,5,37186.83,14260.48,
Kenya,6/1/2007,2007,6,37824.15,14191.37,
Kenya,7/1/2007,2007,7,37469.31,14226.45,
Kenya,8/1/2007,2007,8,37510.68,14150.24,
Kenya,9/1/2007,2007,9,37326.14,14086.36,
Kenya,10/1/2007,2007,10,37491.74,14268.99,
Kenya,11/1/2007,2007,11,38163.1,14206.06,
Kenya,12/1/2007,2007,12,38841.66,13922.79,
Kenya,1/1/2007,2007,1,33907.44,14047.36,
Kenya,2/1/2007,2007,2,34705.3,14461,
Kenya,3/1/2007,2007,3,33951,14131.85,
Kenya,4/1/2007,2007,4,34321.24,13992.07,
Kenya,5/1/2007,2007,5,34756.18,13691.91,
Kenya,6/1/2007,2007,6,35165.59,13904.61,
Kenya,7/1/2007,2007,7,35227.93,13976.15,
Kenya,8/1/2007,2007,8,35305.95,13895.71,
Kenya,9/1/2007,2007,9,35380.46,13970.64,
Kenya,10/1/2007,2007,10,35357.8,13992.31,
Kenya,11/1/2007,2007,11,35552.32,13960.03,
Kenya,12/1/2007,2007,12,37439.76,13890.92,
Kenya,1/1/2007,2007,1,36947.04,15013.3,
Kenya,2/1/2007,2007,2,36730.37,14986.1,
Kenya,3/1/2007,2007,3,36523.18,14836.38,
Kenya,4/1/2007,2007,4,36918.85,14586.73,
Kenya,5/1/2007,2007,5,36274.11,14107.58,
Kenya,6/1/2007,2007,6,37127.51,14303.62,
Kenya,7/1/2007,2007,7,36909,14111.71,
Kenya,8/1/2007,2007,8,37257.72,14322.58,
Kenya,9/1/2007,2007,9,36670.5,14219.09,
Kenya,10/1/2007,2007,10,36881.03,14476.91,
Kenya,11/1/2007,2007,11,37735.53,14169.47,
Kenya,12/1/2007,2007,12,38073.79,13948.8,
Kenya,1/1/2007,2007,1,42264.51,15474.14,
Kenya,2/1/2007,2007,2,42788.51,14119.64,
Kenya,3/1/2007,2007,3,40964.09,13820.33,
Kenya,4/1/2007,2007,4,40898.38,13899,
Kenya,5/1/2007,2007,5,41873.36,13915.5,
Kenya,6/1/2007,2007,6,42140.99,14469.92,
Kenya,7/1/2007,2007,7,42704.38,14507.25,
Kenya,8/1/2007,2007,8,42732.56,14620.19,
Kenya,9/1/2007,2007,9,43109.18,14714.14,
Kenya,10/1/2007,2007,10,42805.43,13796.32,
Kenya,11/1/2007,2007,11,43515.29,13910.91,
Kenya,12/1/2007,2007,12,46600.68,14411.11,
Kenya,1/1/2007,2007,1,38364.93,15249.84,
Kenya,2/1/2007,2007,2,37329.07,14336.13,
Kenya,3/1/2007,2007,3,39740.31,15537.98,
Kenya,4/1/2007,2007,4,38523.61,14504.01,
Kenya,5/1/2007,2007,5,40279.06,14972.86,
Kenya,6/1/2007,2007,6,39079.79,14436.23,
Kenya,7/1/2007,2007,7,41376.67,15705.28,
Kenya,8/1/2007,2007,8,41304.08,15382.73,
Kenya,9/1/2007,2007,9,40396.21,15187,
Kenya,10/1/2007,2007,10,39762.44,15011.82,
Kenya,11/1/2007,2007,11,42037.97,15575.48,
Kenya,12/1/2007,2007,12,43549.92,16303.17,
Kenya,1/1/2007,2007,1,48637.25,18427.43,
Kenya,2/1/2007,2007,2,48217.7,18352.44,
Kenya,3/1/2007,2007,3,47793.39,18930.34,
Kenya,4/1/2007,2007,4,48157.92,19050.62,
Kenya,5/1/2007,2007,5,48564.05,18616.49,
Kenya,6/1/2007,2007,6,49579.25,21311.87,
Kenya,7/1/2007,2007,7,48943.02,18370.77,
Kenya,8/1/2007,2007,8,49537.92,18769.58,
Kenya,9/1/2007,2007,9,49368.73,21048.41,
Kenya,10/1/2007,2007,10,48069.78,18032.9,
Kenya,11/1/2007,2007,11,51340.73,21054.75,
Kenya,12/1/2007,2007,12,52561.37,24383.2,
Kenya,1/1/2007,2007,1,42945.56,16230.29,
Kenya,2/1/2007,2007,2,40121.73,14611.1,
Kenya,3/1/2007,2007,3,41210.13,15525.74,
Kenya,4/1/2007,2007,4,41562.93,15980.42,
Kenya,5/1/2007,2007,5,41670.5,15438.91,
Kenya,6/1/2007,2007,6,44263.46,15761.54,
Kenya,7/1/2007,2007,7,43749.54,15689.75,
Kenya,8/1/2007,2007,8,44246.92,16521.09,
Kenya,9/1/2007,2007,9,42711.59,15782.06,
Kenya,10/1/2007,2007,10,42909.28,16354.65,
Kenya,11/1/2007,2007,11,45060.47,15961.55,
Kenya,12/1/2007,2007,12,46946.16,15437.57,
Kenya,1/1/2007,2007,1,45895.15,16299.9,
Kenya,2/1/2007,2007,2,43956.9,16800.66,
Kenya,3/1/2007,2007,3,42460.46,16253.16,
Kenya,4/1/2007,2007,4,43647.31,16569.1,
Kenya,5/1/2007,2007,5,44634.88,16970.84,
Kenya,6/1/2007,2007,6,47362.49,17917.48,
Kenya,7/1/2007,2007,7,48142.35,18282.6,
Kenya,8/1/2007,2007,8,48037.52,17877.27,
Kenya,9/1/2007,2007,9,47799.47,17537.62,
Kenya,10/1/2007,2007,10,47344.05,17921.33,
Kenya,11/1/2007,2007,11,48671.87,18046.04,
Kenya,12/1/2007,2007,12,50297.25,20813.45,
Kenya,1/1/2007,2007,1,36552.37,15645.78,
Kenya,2/1/2007,2007,2,36495.37,15613.9,
Kenya,3/1/2007,2007,3,36248.96,15038.82,
Kenya,4/1/2007,2007,4,35876.21,14798.31,
Kenya,5/1/2007,2007,5,36456.6,14404.67,
Kenya,6/1/2007,2007,6,35874,13970.66,
Kenya,7/1/2007,2007,7,36505.29,14588.44,
Kenya,8/1/2007,2007,8,36398.93,14336.36,
Kenya,9/1/2007,2007,9,36038.38,14580.48,
Kenya,10/1/2007,2007,10,35665.49,14145.88,
Kenya,11/1/2007,2007,11,36676.51,14113.23,
Kenya,12/1/2007,2007,12,38000.04,13921.06,
Kenya,1/1/2007,2007,1,33652.32,14343.59,
Kenya,2/1/2007,2007,2,33703.82,14207.97,
Kenya,3/1/2007,2007,3,33329.89,14541.91,
Kenya,4/1/2007,2007,4,33300.92,14001.54,
Kenya,5/1/2007,2007,5,34512.01,14009.07,
Kenya,6/1/2007,2007,6,34818.78,13952.17,
Kenya,7/1/2007,2007,7,34503.37,13973.41,
Kenya,8/1/2007,2007,8,34671.93,14008.07,
Kenya,9/1/2007,2007,9,35334.36,13950.28,
Kenya,10/1/2007,2007,10,35238.05,14021.52,
Kenya,11/1/2007,2007,11,36009.4,13892.17,
Kenya,12/1/2007,2007,12,36938.94,13789.92,
Kenya,1/1/2007,2007,1,40174.62,15387.01,
Kenya,2/1/2007,2007,2,38276.8,13669.33,
Kenya,3/1/2007,2007,3,38807.55,13861.7,
Kenya,4/1/2007,2007,4,39278.77,15010.45,
Kenya,5/1/2007,2007,5,39904.17,14315.16,
Kenya,6/1/2007,2007,6,40499.76,13690.39,
Kenya,7/1/2007,2007,7,41845.13,14377.73,
Kenya,8/1/2007,2007,8,41606.34,15175.71,
Kenya,9/1/2007,2007,9,41070.44,15028.28,
Kenya,10/1/2007,2007,10,40664.75,13528.54,
Kenya,11/1/2007,2007,11,41901.15,14465.18,
Kenya,12/1/2007,2007,12,43951.3,15011.58,
Kenya,1/1/2007,2007,1,37001.37,15184.76,
Kenya,2/1/2007,2007,2,36061.98,14729.04,
Kenya,3/1/2007,2007,3,35556.89,14745.97,
Kenya,4/1/2007,2007,4,35758.58,14826.94,
Kenya,5/1/2007,2007,5,36242.13,14469.95,
Kenya,6/1/2007,2007,6,35772.45,14039.06,
Kenya,7/1/2007,2007,7,36330.16,14298.39,
Kenya,8/1/2007,2007,8,36060.26,14581.66,
Kenya,9/1/2007,2007,9,36754.07,14600.78,
Kenya,10/1/2007,2007,10,35560.87,14003.23,
Kenya,11/1/2007,2007,11,37465.71,14258.79,
Kenya,12/1/2007,2007,12,37330.44,13966.36,
Kenya,1/1/2007,2007,1,36391.68,14843,
Kenya,2/1/2007,2007,2,36338.26,14784.7,
Kenya,3/1/2007,2007,3,35085.32,14678.02,
Kenya,4/1/2007,2007,4,35333.18,14758.23,
Kenya,5/1/2007,2007,5,35658.83,14470.83,
Kenya,6/1/2007,2007,6,36256.02,14498.39,
Kenya,7/1/2007,2007,7,35957.31,14169.02,
Kenya,8/1/2007,2007,8,35743.16,14332.88,
Kenya,9/1/2007,2007,9,36162.08,14594.79,
Kenya,10/1/2007,2007,10,35913.36,14541.88,
Kenya,11/1/2007,2007,11,36798.12,14229.75,
Kenya,12/1/2007,2007,12,37825.18,13967.85,
Kenya,1/1/2007,2007,1,35408.64,13159.49,
Kenya,2/1/2007,2007,2,35585.93,13072.05,
Kenya,3/1/2007,2007,3,35326.48,13066.44,
Kenya,4/1/2007,2007,4,35594.59,13151.94,
Kenya,5/1/2007,2007,5,35389.97,12913.1,
Kenya,6/1/2007,2007,6,36687,13240.31,
Kenya,7/1/2007,2007,7,36761.43,13246.77,
Kenya,8/1/2007,2007,8,36401.3,13088.35,
Kenya,9/1/2007,2007,9,36505.55,13308.18,
Kenya,10/1/2007,2007,10,36744.69,13296.63,
Kenya,11/1/2007,2007,11,37375.68,13448.17,
Kenya,12/1/2007,2007,12,39731.41,14222.93,
Kenya,1/1/2007,2007,1,38613.13,15037.19,
Kenya,2/1/2007,2007,2,37990.62,14789.73,
Kenya,3/1/2007,2007,3,37476.66,14508.04,
Kenya,4/1/2007,2007,4,38133.66,14736.74,
Kenya,5/1/2007,2007,5,37302.48,13852.21,
Kenya,6/1/2007,2007,6,38041.32,14075.46,
Kenya,7/1/2007,2007,7,38214.21,14155.76,
Kenya,8/1/2007,2007,8,38181.07,14155.83,
Kenya,9/1/2007,2007,9,37745.04,14122.08,
Kenya,10/1/2007,2007,10,37568.82,13934.06,
Kenya,11/1/2007,2007,11,38256.16,14214.15,
Kenya,12/1/2007,2007,12,39190.07,13810.29,
Kenya,1/1/2007,2007,1,37042.7,14942.94,
Kenya,2/1/2007,2007,2,36699.82,14958.57,
Kenya,3/1/2007,2007,3,36691.19,14827.02,
Kenya,4/1/2007,2007,4,35489.28,14299.84,
Kenya,5/1/2007,2007,5,35884.82,14033.06,
Kenya,6/1/2007,2007,6,36331.7,13820.66,
Kenya,7/1/2007,2007,7,36145.17,14041.57,
Kenya,8/1/2007,2007,8,36312.84,14181.95,
Kenya,9/1/2007,2007,9,36423.6,14258.18,
Kenya,10/1/2007,2007,10,35795.44,13746.19,
Kenya,11/1/2007,2007,11,37637.34,13854.76,
Kenya,12/1/2007,2007,12,38646.22,13842.71,
Kenya,1/1/2007,2007,1,43469,10706,
Kenya,2/1/2007,2007,2,46112.33,10457.33,
Kenya,3/1/2007,2007,3,42176,10797,
Kenya,4/1/2007,2007,4,46488.03,12761,
Kenya,5/1/2007,2007,5,45854,12540,
Kenya,6/1/2007,2007,6,47271.3,13154,
Kenya,7/1/2007,2007,7,47201,13106,
Kenya,8/1/2007,2007,8,45548,13022,
Kenya,9/1/2007,2007,9,41166,12721.64,
Kenya,10/1/2007,2007,10,44767,13270,
Kenya,11/1/2007,2007,11,48860,13541,
Kenya,12/1/2007,2007,12,51374.72,13177,
Kenya,1/1/2007,2007,1,37855.57,14710.15,
Kenya,2/1/2007,2007,2,36958.26,14803.93,
Kenya,3/1/2007,2007,3,36728.14,14771.47,
Kenya,4/1/2007,2007,4,36500.71,14669.12,
Kenya,5/1/2007,2007,5,36536.2,14044.45,
Kenya,6/1/2007,2007,6,37046.8,14161.68,
Kenya,7/1/2007,2007,7,37600.22,14279.32,
Kenya,8/1/2007,2007,8,37622.34,14076.16,
Kenya,9/1/2007,2007,9,37635.2,14342.06,
Kenya,10/1/2007,2007,10,37096.68,14103.21,
Kenya,11/1/2007,2007,11,38512.77,13798.32,
Kenya,12/1/2007,2007,12,38777.81,13974.69,
Kenya,1/1/2007,2007,1,40170.15,14606.82,
Kenya,2/1/2007,2007,2,39884.72,14525.5,
Kenya,3/1/2007,2007,3,40047.13,14576.72,
Kenya,4/1/2007,2007,4,39813.14,14013.01,
Kenya,5/1/2007,2007,5,39951.1,14476.05,
Kenya,6/1/2007,2007,6,40083.86,13803.29,
Kenya,7/1/2007,2007,7,39633.15,14246.3,
Kenya,8/1/2007,2007,8,40156.01,14079.88,
Kenya,9/1/2007,2007,9,39491.43,14215.61,
Kenya,10/1/2007,2007,10,39681.13,14407.52,
Kenya,11/1/2007,2007,11,41232.31,13637.73,
Kenya,12/1/2007,2007,12,41910.2,13247.21,
Kenya,1/1/2007,2007,1,39539.43,14427.52,
Kenya,2/1/2007,2007,2,39245.8,14519.74,
Kenya,3/1/2007,2007,3,38265.56,14007.92,
Kenya,4/1/2007,2007,4,37407.96,13717.79,
Kenya,5/1/2007,2007,5,38999.01,13532.99,
Kenya,6/1/2007,2007,6,38539.14,13664.22,
Kenya,7/1/2007,2007,7,39770.37,13352.77,
Kenya,8/1/2007,2007,8,39319.52,13367,
Kenya,9/1/2007,2007,9,39017.32,13957.33,
Kenya,10/1/2007,2007,10,39477.85,13741.61,
Kenya,11/1/2007,2007,11,40634.85,13801.3,
Kenya,12/1/2007,2007,12,40967.89,13649.55,
Kenya,1/1/2007,2007,1,39090.11,13067.19,
Kenya,2/1/2007,2007,2,39080.66,12983.27,
Kenya,3/1/2007,2007,3,38945.65,12902.29,
Kenya,4/1/2007,2007,4,39001.95,12770.66,
Kenya,5/1/2007,2007,5,38267.54,13057.11,
Kenya,6/1/2007,2007,6,38661.54,12620.79,
Kenya,7/1/2007,2007,7,38582.37,12846.1,
Kenya,8/1/2007,2007,8,38457.68,12774.32,
Kenya,9/1/2007,2007,9,38461.5,12807.6,
Kenya,10/1/2007,2007,10,38646.7,12661.64,
Kenya,11/1/2007,2007,11,39114.01,12623.02,
Kenya,12/1/2007,2007,12,39976.64,11936.21,
Kenya,1/1/2007,2007,1,39296.08,15107.54,
Kenya,2/1/2007,2007,2,38088.42,15064.23,
Kenya,3/1/2007,2007,3,38711.53,14978.74,
Kenya,4/1/2007,2007,4,39028.69,14875.74,
Kenya,5/1/2007,2007,5,39947.92,15031.56,
Kenya,6/1/2007,2007,6,40653.08,15131.18,
Kenya,7/1/2007,2007,7,40782.65,14944.6,
